mass,formula,frac_abundance
86.98599243,j13CC2H2SO,9.61E-07
86.99046326,C3H3SO,6.45E-05
87.0109024,C6HN,0.000427154
87.01899719,j13CC6H2,5.52E-06
87.02348328,C7H3,4.94E-06
87.02755737,j13CC2H4NO2,6.33E-06
87.0320282,C3H5NO2,0.000108655
87.04013062,j13CC3H6O2,3.52E-05
87.04460144,C4H7O2,0.000523894
87.05700963,C4H7Nj18O,6.76E-07
87.05762385,C4H8j15NO,2.61E-07
87.06394372,j13CC3H8NO,3.09E-06
87.06841278,C4H9NO,1.94E-05
87.07652283,j13CC4H10O,1.43E-05
87.08099365,C5H11O,4.76E-05
87.10843658,j13C2C4H13,1.04E-07
87.11290741,j13CC5H14,1.01E-06
87.97396136,j13CC2Hj34SO,3.78E-08
87.9784317,C3H2j34SO,1.33E-06
87.98688119,C3H2Sj18O,6.09E-08
87.98984826,C3H3j33SO,5.10E-07
87.99381256,j13CC2H3SO,2.09E-06
87.99491119,C6O,5.90E-07
87.99828339,C3H4SO,2.33E-06
88.01425171,j13CC5HN,2.77E-05
88.01872407,C6H2N,2.10E-05
88.02683258,j13CC6H3,3.74E-07
88.03130341,C7H4,2.16E-05
88.03538513,j13CC2H5NO2,3.53E-06
88.03986359,C3H6NO2,3.89E-05
88.04795837,j13CC3H7O2,2.27E-05
88.0524292,C4H8O2,8.26E-05
88.06483466,C4H8Nj18O,1.47E-07
88.07176971,j13CC3H9NO,8.41E-07
88.08434296,j13CC4H11O,2.58E-06
88.08881378,C5H12O,5.32E-06
88.96972656,C2HSO2,5.74E-06
88.98178639,j13CC2H2j34SO,4.30E-08
88.98625946,C3H3j34SO,2.89E-06
88.99470623,C3H3Sj18O,1.33E-07
88.99767329,C3H4j33SO,1.84E-08
88.99826813,j13CC5O,3.83E-08
89.00164032,j13CC2H4SO,7.55E-08
89.00273895,C6HO,2.69E-06
89.00611115,C3H5SO,4.68E-06
89.01575904,C6H2j15N,7.69E-08
89.02207891,j13CC5H2N,1.37E-06
89.0265491,C6H3N,0.000446509
89.03465271,j13CC6H4,1.64E-06
